artist,age,birth place
RealestK,17,"Beirut, Lebanon"
Jhené Aiko,33,"Los Angeles, CA"
Rebecca Black,24,"Irvine, CA"
Arizona Zervas,26,"Providence, RI"
Rxseboy,22,New York
Preme,35,Canada
Melii,23,New York
Oliver Tree,28,"Santa Cruz, CA"
Saucy Santana,28,"Tallahassee, FL"
Alex Warren,21,United States
Madison Ryann Ward,27,Oklahoma
Steve Aoki,44,"Miami, FL"
Jacques Greene,35,"Montreal, Canada"
Vince Gill,64,"Norman, OK"
Joe Jonas,32,"Casa Grande, AZ"
Thomas Day,19,United States
david hugo,21,"Monterey, CA"
yvngxchris,17,United States
Hailey Knox,23,"New York City, NY"
Yung Bleu,27,"Mobile, AL"
Casper Magico,32,Puerto Rico
Pia Mia,25,Guam
Kaskade,50,"Chicago, IL"
Benny The Butcher,36,United States
Chris Webby,33,"Norwalk, CT"
1nonly,17,"Las Vegas, NV"
Sally Sossa,20,United States
Smrtdeath,27,Canada
Junior H,20,"Guanajuato, Mexico"
RZA,52,"New York City, NY"
Project Youngin,27,Florida
Davina Michelle,26,"Rotterdam, Netherlands"
Adam Buxton,52,England
Naira Marley,30,"Lagos, Nigeria"
Larry June,30,"San Francisco, CA"
Wiz Khalifa,34,"Minot, ND"
DJ Premier,55,"Houston, TX"
Berner,40,United States
Mozzy,34,"Sacramento, CA"
Kota the Friend,29,"Brooklyn, NY"
Cozz,28,"Los Angeles, CA"
Pouya,27,Florida
J. Cole,36,"Frankfurt, Germany"
D Smoke,36,United States
Domani,20,Georgia
Trip Lee,34,"Dallas, TX"
Zombie Juice,31,"Brooklyn, NY"
Common,49,"South Side, IL"
Patrick Paige II,31,"Los Angeles, CA"
Kenny Mason,26,United States
JID,31,"Atlanta, GA"
Smoke DZA,37,"New York City, NY"
Guapdad 4000,29,"Oakland, CA"
Young Roddy,35,"New Orleans, LA"
Derek Minor,37,"Pontiac, MI"
RETRO,18,United States
Phora,27,"Anaheim, CA"
Erick the Architect,33,"Brooklyn, NY"
ShaqIsDope,29,"Toronto, Canada"
VIC MENSA,28,"Chicago, IL"
Caleborate,28,"Berkeley, CA"
Westside Gunn,39,"Buffalo, NY"
Dayglow,22,"Aledo, TX"
Spencer.,23,United States
Current Joys,29,"Henderson, NV"
Clairo,23,"Atlanta, GA"
Dev Lemons,22,"Boston, MA"
Claire Rosinkranz,17,California
EASHA,19,"Atlanta, GA"
Ritt Momney,22,"Dallas, TX"
Bestfriend,21,"Fort Worth, TX"
beabadoobee,21,"Iloilo, Philippines"
Zeph,23,United States
marinelli,32,Greece
Ricky Montgomery,28,California
Ruru,20,Spain
Cavetown,23,England
Jack Stauber,25,Pennsylvania
Dameer,11,Indonesia
Gucci Mane,41,"Birmingham, AL"
Bebe Rexha,32,"Brooklyn, NY"
OJ Da Juiceman,40,"Atlanta, GA"
Mike WiLL Made-It,32,"Marietta, GA"
Young Dro,42,"Atlanta, GA"
DJ Scream,39,"Atlanta, GA"
Lunchmoney,33,"Miami, FL"
Haley Smalls,30,Canada
DESTIN CONRAD,21,Florida
Paige Kennedy,45,"Detroit, MI"
Canon,32,"Chicago, IL"
Miki Ratsula,23,California
Erin Kinsey,21,"Rockwall, TX"
Leah Marie Mason,22,"Raleigh, NC"
JAXN,54,"Washington, DC"
Jex Nwalor,19,"Toronto, Canada"
Dalton Dover,24,Georgia
Taylor Belle,23,"Long Island, NY"
lilo,44,"Lagos, Nigeria"
Daughter,32,"Stevenage, England"
Sufjan Stevens,46,"Detroit, MI"
Phoebe Bridgers,27,"Los Angeles, CA"
Bon Iver,40,"Eau Claire, WI"
Arlo Parks,21,"London, England"
Damien Rice,48,"Celbridge, Ireland"
Agnes Obel,41,"Copenhagen, Denmark"
Lana Del Rey,36,"New York City, NY"
London Grammar,31,"London, England"
Lianne La Havas,32,"London, England"
Bright Eyes,28,Virginia
Jacob Banks,30,"Birmingham, England"
Clams Casino,34,"Nutley, NJ"
Prateek Kuhad,31,"Jaipur, India"
Christine and the Queens,33,"Nantes, France"
Perfume Genius,40,"Seattle, WA"
Soccer Mommy,73,"London, England"
Ben Howard,34,"London, England"
The Japanese House,25,"London, England"
Nick Leng,28,South Africa
Keaton Henson,33,England
Weyes Blood,33,California
Angel Olsen,34,"St. Louis, MO"
James Vincent McMorrow,38,Ireland
Billie Marten,22,"Yorkshire, England"
Foxy Brown,43,"Brooklyn, NY"
JAY-Z,52,"Brooklyn, NY"
Jadakiss,46,"Yonkers, NY"
Busta Rhymes,49,"New York City, NY"
Lil' Kim,47,"New York City, NY"
LL Cool J,53,"Long Island, NY"
Method Man,50,"Long Island, NY"
Xzibit,47,"Detroit, MI"
Scarface,51,Texas
JT Money,49,"Tampa, FL"
Dr. Dre,56,"Compton, CA"
Snoop Dogg,50,"Long Beach, CA"
Master P,51,"New Orleans, LA"
Trick Daddy,48,"Miami, FL"
Da Brat,47,"Joliet, IL"
AZ,49,"Brooklyn, NY"
Terrace Martin,42,"Los Angeles, CA"
Noname,30,"Chicago, IL"
Jordan Rakei,29,New Zealand
Angela Muñoz,34,Brazil
Ruti,22,England
Hiatus Kaiyote,32,Australia
Ricky Reed,39,United States
Jerome Thomas,38,"London, England"
Oddisee,40,"Washington, DC"
Brittany Howard,33,Alabama
Flying Lotus,38,"Winnetka, CA"
Rochelle Jordan,32,England
Michael Kiwanuka,34,"London, England"
