,Unnamed: 0,track_uri,track_name,artist_name,artist_popularity,artist_followers,artist_genres,album,track_popularity,track_danceability,track_energy,track_loudness,track_tempo,track_duration_ms,is_explict_content
7135,7135,spotify:track:06tKb2aBA9sma7Sftu7kSw,keep lookin’ up,Kacey Musgraves,78,1069918,"('contemporary country', 'country dawn', 'pop', 'texas country')",star-crossed,59,0.539,0.596,-8.846,61.498,166320,0.0
7136,7136,spotify:track:23y9HSyRewnGIx7vZVZhnq,Sitting on Empty,Jeb Gipson,35,1115,(),Good at Moving On,46,0.617,0.748,-7.713,85.019,188705,0.0
7137,7137,spotify:track:77oKig47u34qCCFWKMfu1e,AA,Walker Hayes,72,378513,"('contemporary country', 'country', 'country road', 'modern country rock')",AA,66,0.635,0.747,-6.227,104.027,189560,
7138,7138,spotify:track:0aU4TRPwmyeIp9Au0mfdJi,Stop Coming Over,Chris Lane,66,688752,"('contemporary country', 'country', 'country road', 'modern country rock')",Stop Coming Over,61,0.64,0.815,-5.812,109.966,138818,0.0
7139,7139,spotify:track:55S9J2WPxbRnbHQnT9nw8W,"Being Here, Being There",Rod + Rose,47,1047,(),"Being Here, Being There",46,0.585,0.73,-4.726,139.99,177653,0.0
7140,7140,spotify:track:2wHsq6qPFshjGPNiGjQv0D,Never Comin' Home,Bailey Zimmerman,54,16594,(),Never Comin' Home,40,0.555,0.581,-6.844,143.931,194271,0.0
7141,7141,spotify:track:4VjFgo853p4of6maSkmjfB,Heavyweight,Kassi Ashton,43,11193,"('country pop',)",Heavyweight,49,0.622,0.662,-3.95,135.886,217813,
7142,7142,spotify:track:4DkcQ60CkQtf5oYtfPu3la,"Love, Cold Beer, Cheap Smoke",Elvie Shane,58,15343,"('contemporary country',)",Backslider,53,0.691,0.923,-3.752,121.989,199150,0.0
7143,7143,spotify:track:0yf9zd6aD8UIAcsTQ7n1yo,George Strait Songs,Logan Mize,60,83594,"('contemporary country', 'country pop', 'country road', 'modern country rock')",George Strait Songs,49,0.671,0.863,-4.654,119.991,214525,0.0
7144,7144,spotify:track:671d8SDHATlaTbNsNb3qm9,You Ain't Gone,Sam Grow,49,11199,"('contemporary country', 'country pop')",You Ain't Gone,45,0.383,0.554,-3.791,67.751,178971,0.0
7145,7145,spotify:track:77aohFCZBpaYI4fQrCayIZ,Madness,Maddie & Tae,66,839487,"('contemporary country', 'country', 'country pop')",Madness,57,0.529,0.76,-4.731,74.995,205179,0.0
7146,7146,spotify:track:5ihKcY8Es0Sao3KhX45JhW,Stack of Records,Larry Fleet,56,31885,"('contemporary country',)",Stack of Records,49,0.594,0.667,-5.837,147.994,218340,0.0
7147,7147,spotify:track:6H4TyfdTbm1bIaBkXiyvvw,Boy From Anderson County,Kolby Cooper,59,55714,"('texas country',)",Boy From Anderson County,60,0.515,0.69,-5.631,145.087,244291,0.0
7148,7148,spotify:track:5Ao5ZEjJNQCLuxCBIPRRJM,Hurts the Healing,Drake White,56,82031,"('contemporary country',)",Hurts the Healing,51,0.587,0.834,-4.324,103.014,162586,0.0
7149,7149,spotify:track:3LLezpquftwn7QI1rYIovM,Narcissist,Avery Anna,52,23139,"('alt z',)",Narcissist,61,0.322,0.48,-5.989,73.476,154027,
7150,7150,spotify:track:5fjoMV6IwPKFsmm0LQuv0m,Lost My Heartbreak,David J,52,19359,(),Lost My Heartbreak,65,0.56,0.802,-5.428,103.059,157213,0.0
7151,7151,spotify:track:3QaA5jdFoAvcnxhfE50vCs,God Took His Time On You,Casey Barnes,50,9153,"('australian country', 'australian pop')",God Took His Time On You,60,0.525,0.596,-5.998,171.852,215570,0.0
7152,7152,spotify:track:7k4HVWYcyrsdv3IiIqozat,Villain in Me,Tenille Townes,61,100472,"('alberta country', 'contemporary country', 'country', 'country pop')",Villain in Me,53,0.467,0.312,-11.64,76.369,217155,0.0
7153,7153,spotify:track:3CnNi3SPBWykBpoeyftQOI,Relationship Goals,Steven Lee Olsen,47,13275,"('canadian contemporary country', 'canadian country', 'contemporary country', 'country pop', 'modern country rock')",Relationship Goals,33,0.588,0.814,-4.951,101.969,168494,
7154,7154,spotify:track:2hRDjNbuoqxqHcXj29JJfZ,What A Song Can Do,Lady A,74,3422339,"('contemporary country', 'country', 'country dawn', 'country pop', 'country road', 'neo mellow')",What A Song Can Do (Chapter One),55,0.567,0.779,-5.41,117.045,221040,0.0
7155,7155,spotify:track:472vIK1ldetTxRxG3ovaiY,Glad You Exist,Dan + Shay,79,2492772,"('contemporary country', 'country', 'pop')",Glad You Exist,74,0.748,0.551,-6.12,103.953,144533,0.0
7156,7156,spotify:track:7yFhA2fUsL2oIMWlw5DaHQ,The Bones,Maren Morris,77,616298,"('contemporary country', 'country', 'texas country')",GIRL,78,0.612,0.57,-6.642,77.004,197293,0.0
7157,7157,spotify:track:7vF3xkCMvZjAe2nTWY0uQZ,Made For You,Jake Owen,69,1661189,"('contemporary country', 'country', 'country road', 'modern country rock')",Greetings From...Jake,71,0.581,0.441,-6.829,82.125,238400,0.0
7158,7158,spotify:track:6IBcOGPsniK3Pso1wHIhew,Forever After All,Luke Combs,83,5967424,"('contemporary country', 'country')",What You See Ain't Always What You Get (Deluxe Edition),80,0.487,0.65,-5.195,151.964,232533,
7159,7159,spotify:track:5TWAIHYaOnYg4txfmCgon5,Nobody,Dylan Scott,66,1060527,"('contemporary country', 'country', 'country road', 'modern country rock')",Nothing To Do Town,69,0.573,0.747,-6.46,79.952,160707,
7160,7160,spotify:track:3hLuHKzG1cmlRpq53ZVWd8,The Good Ones,Gabby Barrett,70,199413,"('contemporary country', 'country pop')",Goldmine,75,0.519,0.552,-5.023,89.957,215141,
7161,7161,spotify:track:62SvLj5dBDI9Ee3eBA0BxL,Somebody Like That,Tenille Arts,64,51586,"('canadian contemporary country', 'contemporary country', 'country', 'country pop')","Love, Heartbreak, & Everything in Between",1,0.574,0.792,-5.868,104.989,198209,0.0
7162,7162,spotify:track:50fXFVykkwS6Om9eqjTK44,Take My Name,Parmalee,66,168182,"('contemporary country', 'country', 'country pop', 'country road', 'modern country rock', 'modern uplift')",Songs from 'For You',73,0.559,0.66,-4.143,163.957,157907,
7163,7163,spotify:track:05BgC2247XGi8ySwBzOO0o,Heartbeat,Carrie Underwood,77,4925361,"('contemporary country', 'country', 'country dawn', 'country road', 'oklahoma country', 'post-teen pop')",Storyteller,57,0.54,0.766,-4.478,139.999,209920,
7164,7164,spotify:track:7yNJCsUH3tXlpQiHSsAc5l,"Big, Big Plans",Chris Lane,66,688752,"('contemporary country', 'country', 'country road', 'modern country rock')","Big, Big Plans",70,0.574,0.58,-6.091,149.974,187307,0.0
7165,7165,spotify:track:6rIIhxmidzI07z1kgiOqY8,Till There's Nothing Left,Cam,63,211271,"('contemporary country', 'country', 'country pop')",The Otherside,65,0.577,0.634,-6.905,75.752,195515,
7166,7166,spotify:track:5z0xIGpy5Cb8LRXh0I7Ewl,Coulda Loved You Longer,Adam Doleac,59,34882,"('contemporary country', 'country pop')",Coulda Loved You Longer,66,0.634,0.621,-6.261,93.034,176413,0.0
7167,7167,spotify:track:6gdLyYNuhWBzqwlOFSsXC7,Better Together,Luke Combs,83,5967424,"('contemporary country', 'country')",What You See Is What You Get,76,0.552,0.225,-11.501,138.002,219573,0.0
7168,7168,spotify:track:5kp3JbZL1ROMxc32pcpn29,Slow Dance In A Parking Lot,Jordan Davis,72,535523,"('contemporary country',)",Slow Dance In A Parking Lot,53,0.519,0.833,-4.47,81.992,193929,0.0
7169,7169,spotify:track:7DhvNzyMM8jJWcfykG3psB,Thinking 'Bout You (feat. MacKenzie Porter),Dustin Lynch,71,1719301,"('contemporary country', 'country', 'country road', 'modern country rock')",Thinking 'Bout You (feat. MacKenzie Porter),78,0.403,0.711,-4.189,203.803,170560,0.0
7170,7170,spotify:track:7xMFk2Vj2hALyMdzHFopJl,Home Sweet,Russell Dickerson,68,347985,"('contemporary country', 'country', 'country road', 'modern country rock')",Home Sweet,65,0.58,0.813,-5.621,120.973,205947,0.0
7171,7171,spotify:track:5wTt43UbS3HmDvzAJ7Yax3,Always Gonna Love You,Florida Georgia Line,80,4598217,"('contemporary country', 'country', 'country pop', 'country road', 'modern country rock')",Life Rolls On,66,0.543,0.723,-4.892,143.028,177027,0.0
7172,7172,spotify:track:425bCdRNNdkcxYWrMuhr2Z,Chasin' Me,Caroline Jones,47,23957,"('contemporary country', 'country pop')",Chasin' Me,52,0.704,0.662,-4.656,107.993,248433,
