,track_uri,track_name,artist_name,artist_popularity,artist_followers,artist_genres,album,track_popularity,track_danceability,track_energy,track_loudness,track_tempo,track_duration_ms,is_explict_content
5370,spotify:track:3vV3cr2TpPqFk07zxYUbla,Cum on Feel the Noize,Quiet Riot,62,1325501,"('album rock', 'classic rock', 'glam metal', 'hard rock', 'metal', 'rock')",Metal Health,72,0.409,0.92,-5.439,145.085,290960,0.0
5371,spotify:track:2SgbR6ttzoNlCRGQOKjrop,Cowboys from Hell,Pantera,71,3566810,"('alternative metal', 'groove metal', 'hard rock', 'metal', 'nu metal', 'old school thrash', 'rock', 'texas metal')",Cowboys from Hell,71,0.415,0.908,-9.701,114.816,243533,1.0
5372,spotify:track:7GonnnalI2s19OCQO1J7Tf,Kickstart My Heart,Mötley Crüe,74,3655929,"('glam metal', 'hard rock', 'metal', 'rock', 'sleaze rock')",Dr. Feelgood,78,0.359,0.981,-3.622,178.98,282653,0.0
5373,spotify:track:6aYXSH9JZrD30Av2KlAOMY,2 Minutes to Midnight - 1998 Remaster,Iron Maiden,76,6980518,"('hard rock', 'metal', 'nwobhm', 'rock')",Powerslave (1998 Remastered Edition),0,0.459,0.953,-6.518,95.074,359760,0.0
5374,spotify:track:521gC8oqqmUknLZpodHOh9,Perfect Strangers,Deep Purple,71,4311909,"('album rock', 'blues rock', 'classic rock', 'hard rock', 'metal', 'rock')",Perfect Strangers,0,0.521,0.721,-7.699,97.578,328427,0.0
5375,spotify:track:5XcZRgJv3zMhTqCyESjQrF,Poison,Alice Cooper,67,2820253,"('album rock', 'blues rock', 'classic rock', 'detroit rock', 'glam metal', 'glam rock', 'hard rock', 'metal', 'protopunk', 'rock')",Trash,74,0.28,0.908,-5.509,118.698,270080,0.0
5376,spotify:track:28sMmBCmfHoy6NjZnovEYG,Balls to the Wall,Accept,62,698940,"('album rock', 'german heavy metal', 'german metal', 'glam metal', 'hard rock', 'metal', 'power metal', 'rock', 'speed metal', 'thrash metal')",Balls To The Wall,52,0.544,0.739,-7.383,118.287,342600,0.0
5377,spotify:track:00iV838pAEznn1qLoG8Rxy,Children of the Grave,Black Sabbath,75,5836777,"('album rock', 'birmingham metal', 'classic rock', 'hard rock', 'metal', 'rock', 'stoner rock', 'uk doom metal')",Master Of Reality (Remastered),0,0.319,0.65,-13.927,149.886,317206,0.0
5378,spotify:track:2GNat4nfktZONFZ7Cqm5Bq,Strutter,KISS,75,6647779,"('album rock', 'classic rock', 'glam rock', 'hard rock', 'metal', 'rock')",Kiss (Remastered Version),39,0.511,0.912,-5.618,131.339,190867,0.0
5379,spotify:track:0kUBk3PnCat4oPvTlNsStp,One,Metallica,84,19928691,"('hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal')",...And Justice For All,0,0.437,0.695,-9.447,102.178,447440,0.0
5380,spotify:track:0IXpUl1fn2QZcBavfuq0H4,Living After Midnight,Judas Priest,69,2955656,"('album rock', 'birmingham metal', 'hard rock', 'metal', 'power metal', 'rock')",British Steel,64,0.61,0.824,-6.046,134.992,210133,0.0
5381,spotify:track:70Z9t1qhytWtG4cCmmi7mU,I Wanna Rock,Twisted Sister,66,1918345,"('album rock', 'glam metal', 'hard rock', 'metal', 'rock')",Stay Hungry,72,0.504,0.911,-2.97,106.244,179760,0.0
5382,spotify:track:1s4Ie0cT6P73SRSfh3oyGW,The Number Of The Beast - 1998 Remastered Version,Iron Maiden,76,6980518,"('hard rock', 'metal', 'nwobhm', 'rock')",The Number Of The Beast (1998 Remastered Edition),0,0.42,0.93,-5.583,99.641,291373,0.0
