,Unnamed: 0,track_uri,track_name,artist_name,artist_popularity,artist_followers,artist_genres,album,track_popularity,track_danceability,track_energy,track_loudness,track_tempo,track_duration_ms
2716,2716,spotify:track:0jJGplHmOPpams1xAV2vhg,FEEL LIKE,Josh Fudge,44,11080,"('lo-fi indie',)",FEEL LIKE,13,0.592,0.733,-7.09,104.977,188143
2717,2717,spotify:track:5lCtzEEl2FxySHX4zR9yEf,kissing girls,Grady,58,26774,"('indie electropop', 'indie pop')",a place we can always go.,57,0.415,0.456,-7.315,181.452,100750
2718,2718,spotify:track:5YIAMIFBXGXsyJwJmqUMZo,Talk to You,Ricky Montgomery,75,951047,"('indie pop', 'la indie', 'pop')",Talk to You,66,0.514,0.671,-7.048,179.934,214724
2719,2719,spotify:track:31hlhFQVLQS4VADMTPl59i,Bends,Ralph Castelli,59,54578,"('alaska indie',)",Bends,0,0.598,0.466,-11.611,89.621,155985
2720,2720,spotify:track:0kjRlBI8YIxDQKrP7PrZr4,Satellite,Will Paquin,66,60129,"('weirdcore',)",Satellite,47,0.68,0.506,-10.04,176.037,191505
2721,2721,spotify:track:7gF4K3K2EqWHkLHh1gE3vO,Shadows,Kate Bollinger,49,35485,"('charlottesville indie', 'indie pop', 'indie r&b')",Shadows,51,0.543,0.431,-7.479,146.0,157616
2722,2722,spotify:track:5ILHXmaeyzwt87dLAdPFo4,ok,BETWEEN FRIENDS,64,142148,"('indie pop', 'la pop')",i like when you shine!,46,0.717,0.435,-8.645,82.619,160840
2724,2724,spotify:track:6Q4oiVdxUveuaVEXWfephy,Flaming Hot Cheetos,Clairo,81,2990636,"('bedroom pop', 'indie pop', 'pop')",Flaming Hot Cheetos,0,0.7,0.387,-15.38,110.068,123341
2725,2725,spotify:track:1USo158Kncaxfyq9q306dn,Sinatra,Forrest Nolan,52,14269,"('modern indie pop',)",Sinatra,58,0.444,0.301,-8.88,95.278,156342
2727,2727,spotify:track:0kFFvTvmSgJeNkVKPFaplu,Something About You,Eyedress,76,511937,"('noise pop',)",Something About You,77,0.648,0.781,-8.736,133.417,153313
2728,2728,spotify:track:6EPOKdXGMGI0Clx2P7afnC,Halloween,marinelli,48,7278,"('modern indie pop',)",Halloween,42,0.657,0.547,-6.981,86.988,139480
2729,2729,spotify:track:0qQ9VcVPkWDTnff6HIhISU,Someone To Spend Time With,Los Retros,61,142619,"('latinx alternative',)",Someone To Spend Time With,4,0.817,0.471,-13.301,89.551,173954
2730,2730,spotify:track:13O36COxxWjcvc9r5Zsd1P,Puppy Dog,Dreamer Boy,55,57084,"('alternative r&b', 'chill r&b', 'indie pop', 'indie r&b', 'nashville indie')",Puppy Dog,58,0.689,0.545,-8.289,113.997,210281
2731,2731,spotify:track:0Gm7k2jwz8bKr4xjmr9IG3,Baby,ADOY,48,89212,"('chill r&b', 'k-indie', 'korean city pop', 'korean dream pop', 'korean electropop', 'korean indie rock')",Baby,46,0.791,0.65,-7.134,101.996,237398
2732,2732,spotify:track:2dwvxOHnQjndZLowIR6PiS,Seven,Men I Trust,70,653402,"('indie pop',)",Seven,60,0.692,0.421,-10.948,96.982,225394
2733,2733,spotify:track:2g53SdqqFWRB1kDNLHmjag,i'll break my heart (so you don't have to),sarya,27,921,(),i'll break my heart (so you don't have to),27,0.395,0.597,-6.287,79.978,300000
2734,2734,spotify:track:3GWuPbPr5nT65fmew963zV,Sleep Well,j ember,45,9469,"('toronto indie',)",Sleep Well,40,0.586,0.718,-7.834,90.972,248675
2735,2735,spotify:track:4fPk5AIvhAOK9KELmztQxX,Lonely,Ralph Castelli,59,54578,"('alaska indie',)",Long Distance,52,0.547,0.316,-14.575,120.022,260000
2736,2736,spotify:track:7GdGBGwFMg21mY9kNpNKXI,Antidote,Orion Sun,57,109428,"('alternative r&b', 'bedroom pop', 'chill r&b', 'indie pop', 'indie r&b', 'indie soul')",A Collection of Fleeting Moments and Daydreams,0,0.506,0.807,-3.96,163.239,169756
