,artist_name,origin
232,Craig Northey,Canada
233,Enter the Haggis,Canada
234,Suuns,Canada
235,The Stills,Canada
236,Zumpano,Canada
237,Neuraxis,Canada
238,The Grapes of Wrath,Canada
239,The Besnard Lakes,Canada
240,Tom Thacker,Canada
241,Obscene Eulogy,Canada
242,Land of Talk,Canada
243,Absolute Whores,Canada
244,Maurice,Canada
245,The Salads,Canada
246,Starfield,Canada
247,Zombie Girl,Canada
248,MCJ & Cool G,Canada
249,Conjure One,Canada
250,Unexpect,Canada
251,The Planet Smashers,Canada
252,K-os,Canada
253,Lloyd Arntzen,Canada
254,Dandi Wind,Canada
255,Brian Hughes,Canada
256,The High Dials,Canada
257,Cauterize,Canada
258,Blasphemy,Canada
259,Love You to Death,Canada
260,Servant,Canada
261,Dahmer,Canada
262,The Liar's Rosebush,Canada
263,Wendy Matthews,Canada
264,Two Hours Traffic,Canada
265,Iskra,Canada
266,The McRackins,Canada
267,Mitochondrion,Canada
268,Dark Forest,Canada
269,Moonlyght,Canada
270,Charlie Major,Canada
271,Tim Hecker,Canada
272,Randy Jackson,Canada
273,LEN,Canada
274,Jane Siberry,Canada
275,Arnej,Canada
276,Mychael Danna,Canada
277,Shawn Desman,Canada
278,Amanda Marshall,Canada
279,Julie Doiron,Canada
280,Prairie Oyster,Canada
281,Hayden,Canada
282,Choclair,Canada
283,Dream Warriors,Canada
284,Lisa Brokop,Canada
285,Cajjmere Wray,Canada
286,Matt Dusk,Canada
287,Gino Vannelli,Canada
288,Blue Rodeo,Canada
289,Hugh Dillon,Canada
290,Maestro,Canada
291,Jeremy Fisher,Canada
292,Geoff Berner,Canada
293,Rab Townsend,Canada
294,Bob Nolan,Canada
295,Sue Foley,Canada
296,King Khan,Canada
297,Chilliwack,Canada
298,Parachute Club,Canada
299,Melanie Doane,Canada
300,Montreal Symphony Orchestra,Canada
301,Brian Melo,Canada
302,Cadence Weapon,Canada
303,Edwin,Canada
304,Nash the Slash,Canada
305,Emm Gryner,Canada
306,Moxy,Canada
307,Belly,Canada
308,Divine Brown,Canada
309,Jeff Martin,Canada
310,Cancer Bats,Canada
311,Steve Jocz,Canada
312,Prozzäk,Canada
313,Sarah Slean,Canada
314,Stompin' Tom Connors,Canada
315,Jason McCoy,Canada
316,Gob,Canada
317,Eric's Trip,Canada
318,Phil Western,Canada
