,artist_name,origin
184,Waka Flocka Flame,"New York City, NY"
185,Jeezy,"Columbia, SC"
186,Bubba Sparxxx,Georgia
187,Twista,"Chicago, IL"
188,Young Money,"New Orleans, LA"
189,Plies,"Fort Myers, FL"
190,Gucci Mane,"Birmingham, AL"
191,Cam’ron,"New York City, NY"
192,Memphis Bleek,"Brooklyn, NY"
193,Crime Mob,"Atlanta, GA"
194,Young Buck,"Nashville, TN"
195,Mystikal,"New Orleans, LA"
196,J-Kwon,"St. Louis, MO"
197,Bone Crusher,"Atlanta, GA"
198,Lil Jon,"Atlanta, GA"
199,Shawty Lo,"Atlanta, GA"
200,Chingy,"St. Louis, MO"
201,Petey Pablo,"Greenville, NC"
202,Killer Mike,"Atlanta, GA"
203,Ruff Ryders,"Mount Vernon, NY"
204,JUVENILE,"New Orleans, LA"
205,Jay Park,"Edmonds, WA"
206,Luqman Podolski,"Kuala Lumpur, Malaysia"
207,SAINt JHN,"Brooklyn, NY"
208,pH-1,"Seoul, South Korea"
209,Luh Soldier,"Birmingham, AL"
210,Yella Beezy,Texas
211,Lil Reese,"Chicago, IL"
212,JayDaYoungan,"Bogalusa, LA"
213,OLA RUNT,United States
214,Icewear Vezzo,Michigan
215,Slimelife Shawty,"Atlanta, GA"
216,DJ Drama,"Philadelphia, PA"
217,Yung Bleu,"Mobile, AL"
218,K CAMP,"Milwaukee, WI"
219,Hitmaka,"Chicago, IL"
220,Kalan.FrFr,United States
221,YXNG K.A,"Philadelphia, PA"
222,Kirk Knight,New York
223,Childish Major,"Edgefield, SC"
224,Bun B,"Port Arthur, TX"
225,Lil Scrappy,"Atlanta, GA"
226,Rich Boy,"Mobile, AL"
227,Pastor Troy,"Atlanta, GA"
228,Lil Keke,Texas
229,Young Dro,"Atlanta, GA"
230,Queen Latifah,"Newark, NJ"
231,Rah Digga,"Newark, NJ"
232,Shawnna,"Chicago, IL"
233,Angie Martinez,"Brooklyn, NY"
234,Yo-Yo,California
235,Mia X,"New Orleans, LA"
236,Derek King,California
237,Cuban Doll,"Dallas, TX"
238,Project Youngin,Florida
239,NoCap,"Mobile, AL"
240,Derez De’Shon,"Chicago, IL"
241,Rylo Rodriguez,"Mobile, AL"
242,MO3,"Dallas, TX"
243,Taleban Dooda,"Tampa, FL"
244,Yungeen Ace,"East Chicago, IN"
245,Kano,England
246,Shola Ama,England
247,Dizzee Rascal,"London, England"
248,Tinie Tempah,"London, England"
249,Lethal Bizzle,"London, England"
250,Jme,"London, England"
251,Wretch 32,"London, England"
252,Guvna B,England
253,Tempa T,England
254,Bashy,England
255,D Double E,England
256,Donae'o,"London, England"
257,N-Dubz,"London, England"
258,Ghetts,"Newham, England"
259,We Came As Romans,"Troy, OH"
260,Sabaton,"Falun, Sweden"
261,Of Mice & Men,"Costa Mesa, CA"
262,Beartooth,"Columbus, OH"
263,I Prevail,"Southfield, MI"
264,Adelitas Way,"Las Vegas, NV"
265,A Day To Remember,"Ocala, FL"
266,Breaking Benjamin,"Wilkes-Barre, PA"
267,NOTHING MORE,"San Antonio, TX"
268,Motionless In White,"Scranton, PA"
269,Black Veil Brides,"Cincinnati, OH"
270,Halestorm,"Red Lion, PA"
271,From Ashes to New,"Lancaster, PA"
272,Sylar,"Queens, NY"
273,Sepultura,"Cleveland, OH"
274,Parkway Drive,"Byron Bay, Australia"
275,Yngwie Malmsteen,"Stockholm, Sweden"
276,Dee Snider,"Queens, NY"
277,Leprous,Norway
278,Haken,Malaysia
279,Devin Townsend,"New Westminster, Canada"
280,Intervals,Canada
281,Tulip,United States
282,John Petrucci,"Long Island, NY"
283,Steven Wilson,England
284,Hellhammer,Norway
